2016
Age,"Male % of Population","Female % of Population"
36,0.7%,0.7%
37,0.68%,0.69%
38,0.68%,0.69%
39,0.71%,0.71%
40,0.75%,0.76%
41,0.76%,0.78%
42,0.76%,0.78%
43,0.76%,0.78%
44,0.77%,0.79%
45,0.78%,0.8%
46,0.75%,0.77%
47,0.75%,0.77%
48,0.74%,0.77%
49,0.71%,0.74%
50,0.72%,0.74%
51,0.69%,0.71%
52,0.66%,0.69%
53,0.64%,0.67%
54,0.62%,0.66%
55,0.62%,0.65%
56,0.6%,0.63%
57,0.59%,0.62%
58,0.62%,0.65%
59,0.46%,0.49%
60,0.45%,0.49%
61,0.45%,0.48%
62,0.46%,0.5%
63,0.4%,0.44%
64,0.37%,0.41%
65,0.36%,0.4%
66,0.34%,0.38%
67,0.33%,0.37%
68,0.31%,0.35%
69,0.3%,0.35%
70,0.29%,0.34%
71,0.26%,0.32%
72,0.26%,0.32%
73,0.25%,0.31%
74,0.25%,0.31%
75,0.24%,0.31%
76,0.22%,0.3%
77,0.22%,0.29%
78,0.2%,0.28%
79,0.19%,0.27%
80,0.18%,0.27%
81,0.16%,0.25%
82,0.14%,0.23%
83,0.13%,0.22%
84,0.12%,0.2%
85,0.1%,0.18%
86,0.08%,0.15%
87,0.07%,0.14%
88,0.06%,0.12%
89,0.05%,0.1%
90,0.04%,0.09%
91,0.03%,0.07%
92,0.02%,0.06%
93,0.02%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2004
Age,"Male % of Population","Female % of Population"
0,0.7%,0.67%
1,0.69%,0.66%
2,0.69%,0.66%
3,0.7%,0.67%
4,0.68%,0.65%
5,0.67%,0.64%
6,0.67%,0.64%
7,0.67%,0.64%
8,0.69%,0.66%
9,0.7%,0.67%
10,0.73%,0.69%
11,0.74%,0.7%
12,0.75%,0.72%
13,0.76%,0.72%
14,0.77%,0.73%
15,0.75%,0.71%
16,0.74%,0.7%
17,0.73%,0.69%
18,0.74%,0.7%
19,0.75%,0.7%
20,0.73%,0.68%
21,0.74%,0.69%
22,0.73%,0.7%
23,0.73%,0.71%
24,0.72%,0.7%
25,0.69%,0.67%
26,0.66%,0.65%
27,0.65%,0.65%
28,0.64%,0.63%
29,0.65%,0.64%
30,0.64%,0.63%
31,0.65%,0.65%
32,0.69%,0.69%
33,0.73%,0.73%
34,0.75%,0.74%
35,0.71%,0.7%
36,0.69%,0.69%
37,0.69%,0.69%
38,0.71%,0.72%
39,0.76%,0.77%
40,0.77%,0.78%
41,0.77%,0.78%
42,0.77%,0.78%
43,0.78%,0.8%
44,0.79%,0.8%
45,0.76%,0.78%
46,0.76%,0.78%
47,0.75%,0.77%
48,0.72%,0.74%
49,0.73%,0.75%
50,0.69%,0.72%
51,0.67%,0.7%
52,0.65%,0.68%
53,0.63%,0.66%
54,0.63%,0.66%
55,0.6%,0.64%
56,0.6%,0.63%
57,0.63%,0.66%
58,0.47%,0.5%
59,0.46%,0.49%
60,0.45%,0.49%
61,0.47%,0.51%
62,0.41%,0.45%
63,0.38%,0.42%
64,0.37%,0.41%
65,0.35%,0.39%
66,0.34%,0.38%
67,0.32%,0.36%
68,0.31%,0.35%
69,0.3%,0.35%
70,0.27%,0.32%
71,0.27%,0.33%
72,0.26%,0.32%
73,0.26%,0.32%
74,0.25%,0.32%
75,0.23%,0.31%
76,0.23%,0.31%
77,0.22%,0.3%
78,0.2%,0.29%
79,0.19%,0.28%
80,0.17%,0.27%
81,0.16%,0.25%
82,0.15%,0.24%
83,0.13%,0.22%
84,0.11%,0.2%
85,0.09%,0.17%
86,0.08%,0.16%
87,0.07%,0.13%
88,0.05%,0.12%
89,0.05%,0.11%
90,0.04%,0.09%
91,0.03%,0.07%
92,0.02%,0.06%
93,0.01%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.01%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2003
Age,"Male % of Population","Female % of Population"
0,0.7%,0.67%
1,0.69%,0.66%
2,0.7%,0.68%
3,0.68%,0.65%
4,0.67%,0.64%
5,0.67%,0.64%
6,0.68%,0.65%
7,0.69%,0.66%
8,0.7%,0.67%
9,0.71%,0.68%
10,0.74%,0.71%
11,0.75%,0.72%
12,0.76%,0.73%
13,0.78%,0.74%
14,0.75%,0.71%
15,0.74%,0.7%
16,0.73%,0.69%
17,0.74%,0.69%
18,0.75%,0.7%
19,0.73%,0.69%
20,0.74%,0.69%
21,0.74%,0.7%
22,0.73%,0.71%
23,0.72%,0.71%
24,0.69%,0.67%
25,0.67%,0.65%
26,0.66%,0.64%
27,0.64%,0.63%
28,0.66%,0.65%
29,0.64%,0.63%
30,0.66%,0.65%
31,0.69%,0.68%
32,0.73%,0.73%
33,0.75%,0.74%
34,0.71%,0.7%
35,0.7%,0.7%
36,0.7%,0.7%
37,0.72%,0.72%
38,0.77%,0.77%
39,0.78%,0.79%
40,0.77%,0.79%
41,0.78%,0.79%
42,0.79%,0.8%
43,0.81%,0.81%
44,0.77%,0.78%
45,0.77%,0.78%
46,0.76%,0.78%
47,0.73%,0.75%
48,0.73%,0.75%
49,0.7%,0.73%
50,0.67%,0.7%
51,0.66%,0.68%
52,0.64%,0.67%
53,0.64%,0.67%
54,0.61%,0.64%
55,0.6%,0.64%
56,0.64%,0.67%
57,0.47%,0.5%
58,0.47%,0.5%
59,0.46%,0.5%
60,0.47%,0.51%
61,0.42%,0.46%
62,0.39%,0.42%
63,0.37%,0.41%
64,0.35%,0.39%
65,0.35%,0.39%
66,0.32%,0.37%
67,0.31%,0.36%
68,0.31%,0.36%
69,0.28%,0.33%
70,0.28%,0.33%
71,0.27%,0.33%
72,0.27%,0.33%
73,0.27%,0.34%
74,0.25%,0.32%
75,0.24%,0.32%
76,0.23%,0.31%
77,0.21%,0.3%
78,0.21%,0.3%
79,0.19%,0.28%
80,0.17%,0.26%
81,0.16%,0.25%
82,0.14%,0.24%
83,0.13%,0.22%
84,0.1%,0.19%
85,0.09%,0.17%
86,0.08%,0.15%
87,0.06%,0.14%
88,0.05%,0.12%
89,0.04%,0.1%
90,0.03%,0.09%
91,0.03%,0.07%
92,0.02%,0.06%
93,0.01%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.01%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2002
Age,"Male % of Population","Female % of Population"
0,0.7%,0.67%
1,0.71%,0.68%
2,0.69%,0.65%
3,0.68%,0.65%
4,0.68%,0.65%
5,0.68%,0.65%
6,0.7%,0.66%
7,0.71%,0.68%
8,0.72%,0.68%
9,0.73%,0.7%
10,0.75%,0.72%
11,0.76%,0.73%
12,0.78%,0.74%
13,0.75%,0.71%
14,0.74%,0.7%
15,0.73%,0.69%
16,0.74%,0.7%
17,0.74%,0.7%
18,0.73%,0.69%
19,0.75%,0.7%
20,0.74%,0.7%
21,0.74%,0.71%
22,0.73%,0.71%
23,0.7%,0.67%
24,0.68%,0.65%
25,0.67%,0.65%
26,0.65%,0.63%
27,0.67%,0.65%
28,0.65%,0.63%
29,0.66%,0.65%
30,0.7%,0.69%
31,0.73%,0.73%
32,0.76%,0.75%
33,0.72%,0.71%
34,0.7%,0.7%
35,0.7%,0.7%
36,0.72%,0.72%
37,0.77%,0.78%
38,0.79%,0.79%
39,0.78%,0.79%
40,0.79%,0.8%
41,0.79%,0.81%
42,0.81%,0.82%
43,0.78%,0.79%
44,0.78%,0.79%
45,0.77%,0.79%
46,0.74%,0.76%
47,0.74%,0.76%
48,0.71%,0.73%
49,0.68%,0.71%
50,0.66%,0.69%
51,0.65%,0.67%
52,0.64%,0.67%
53,0.62%,0.65%
54,0.62%,0.65%
55,0.64%,0.67%
56,0.48%,0.51%
57,0.48%,0.51%
58,0.47%,0.5%
59,0.48%,0.52%
60,0.42%,0.46%
61,0.39%,0.43%
62,0.38%,0.42%
63,0.36%,0.4%
64,0.35%,0.39%
65,0.33%,0.37%
66,0.32%,0.37%
67,0.32%,0.37%
68,0.29%,0.34%
69,0.29%,0.34%
70,0.28%,0.34%
71,0.28%,0.34%
72,0.28%,0.35%
73,0.26%,0.33%
74,0.25%,0.33%
75,0.24%,0.32%
76,0.23%,0.31%
77,0.22%,0.31%
78,0.2%,0.3%
79,0.19%,0.28%
80,0.17%,0.27%
81,0.16%,0.25%
82,0.14%,0.23%
83,0.12%,0.2%
84,0.11%,0.19%
85,0.09%,0.17%
86,0.08%,0.15%
87,0.06%,0.14%
88,0.05%,0.12%
89,0.04%,0.1%
90,0.03%,0.09%
91,0.03%,0.07%
92,0.02%,0.06%
93,0.01%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.01%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2001
Age,"Male % of Population","Female % of Population"
0,0.72%,0.69%
1,0.69%,0.66%
2,0.68%,0.65%
3,0.68%,0.65%
4,0.69%,0.66%
5,0.7%,0.67%
6,0.71%,0.68%
7,0.72%,0.69%
8,0.74%,0.7%
9,0.75%,0.72%
10,0.77%,0.73%
11,0.78%,0.74%
12,0.75%,0.72%
13,0.74%,0.7%
14,0.73%,0.69%
15,0.74%,0.7%
16,0.74%,0.7%
17,0.73%,0.68%
18,0.75%,0.69%
19,0.75%,0.7%
20,0.74%,0.71%
21,0.74%,0.71%
22,0.7%,0.67%
23,0.68%,0.65%
24,0.67%,0.65%
25,0.65%,0.63%
26,0.67%,0.65%
27,0.65%,0.64%
28,0.67%,0.66%
29,0.7%,0.69%
30,0.74%,0.74%
31,0.76%,0.75%
32,0.72%,0.71%
33,0.71%,0.7%
34,0.71%,0.71%
35,0.73%,0.73%
36,0.78%,0.78%
37,0.79%,0.8%
38,0.79%,0.8%
39,0.79%,0.8%
40,0.8%,0.81%
41,0.82%,0.83%
42,0.79%,0.8%
43,0.79%,0.8%
44,0.78%,0.79%
45,0.74%,0.76%
46,0.75%,0.77%
47,0.72%,0.74%
48,0.69%,0.72%
49,0.67%,0.7%
50,0.65%,0.68%
51,0.65%,0.68%
52,0.63%,0.66%
53,0.62%,0.65%
54,0.65%,0.68%
55,0.49%,0.51%
56,0.49%,0.51%
57,0.48%,0.51%
58,0.49%,0.53%
59,0.43%,0.47%
60,0.4%,0.44%
61,0.39%,0.43%
62,0.37%,0.41%
63,0.36%,0.4%
64,0.34%,0.38%
65,0.33%,0.38%
66,0.33%,0.38%
67,0.3%,0.35%
68,0.3%,0.35%
69,0.29%,0.35%
70,0.29%,0.35%
71,0.29%,0.36%
72,0.27%,0.34%
73,0.27%,0.34%
74,0.26%,0.33%
75,0.24%,0.32%
76,0.23%,0.32%
77,0.22%,0.31%
78,0.2%,0.29%
79,0.19%,0.28%
80,0.17%,0.27%
81,0.15%,0.25%
82,0.13%,0.22%
83,0.12%,0.21%
84,0.1%,0.18%
85,0.09%,0.17%
86,0.08%,0.15%
87,0.06%,0.14%
88,0.05%,0.12%
89,0.04%,0.1%
90,0.03%,0.09%
91,0.03%,0.07%
92,0.02%,0.06%
93,0.01%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.01%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%

2000
Age,"Male % of Population","Female % of Population"
0,0.7%,0.67%
1,0.69%,0.66%
2,0.69%,0.66%
3,0.69%,0.66%
4,0.71%,0.68%
5,0.72%,0.69%
6,0.73%,0.69%
7,0.74%,0.71%
8,0.76%,0.72%
9,0.77%,0.73%
10,0.78%,0.75%
11,0.75%,0.72%
12,0.74%,0.71%
13,0.73%,0.7%
14,0.74%,0.7%
15,0.74%,0.7%
16,0.73%,0.68%
17,0.74%,0.69%
18,0.74%,0.7%
19,0.75%,0.71%
20,0.74%,0.71%
21,0.71%,0.67%
22,0.68%,0.65%
23,0.67%,0.65%
24,0.66%,0.63%
25,0.68%,0.65%
26,0.65%,0.64%
27,0.67%,0.66%
28,0.71%,0.69%
29,0.75%,0.74%
30,0.77%,0.75%
31,0.73%,0.71%
32,0.71%,0.7%
33,0.71%,0.71%
34,0.74%,0.73%
35,0.79%,0.79%
36,0.8%,0.8%
37,0.8%,0.81%
38,0.8%,0.81%
39,0.81%,0.82%
40,0.83%,0.83%
41,0.79%,0.81%
42,0.8%,0.81%
43,0.78%,0.8%
44,0.75%,0.77%
45,0.76%,0.78%
46,0.73%,0.75%
47,0.7%,0.73%
48,0.68%,0.7%
49,0.66%,0.69%
50,0.66%,0.69%
51,0.64%,0.66%
52,0.63%,0.66%
53,0.66%,0.69%
54,0.49%,0.52%
55,0.49%,0.52%
56,0.48%,0.51%
57,0.5%,0.53%
58,0.44%,0.47%
59,0.41%,0.44%
60,0.4%,0.43%
61,0.38%,0.41%
62,0.37%,0.41%
63,0.35%,0.39%
64,0.34%,0.38%
65,0.34%,0.38%
66,0.31%,0.36%
67,0.31%,0.36%
68,0.3%,0.36%
69,0.3%,0.36%
70,0.3%,0.37%
71,0.28%,0.35%
72,0.28%,0.35%
73,0.27%,0.35%
74,0.25%,0.34%
75,0.25%,0.34%
76,0.23%,0.32%
77,0.21%,0.31%
78,0.2%,0.3%
79,0.19%,0.28%
80,0.17%,0.27%
81,0.14%,0.23%
82,0.13%,0.22%
83,0.11%,0.2%
84,0.1%,0.19%
85,0.09%,0.17%
86,0.07%,0.15%
87,0.06%,0.14%
88,0.05%,0.12%
89,0.04%,0.1%
90,0.03%,0.09%
91,0.02%,0.07%
92,0.02%,0.06%
93,0.01%,0.05%
94,0.01%,0.04%
95,0.01%,0.03%
96,0.01%,0.02%
97,0%,0.02%
98,0%,0.01%
99,0%,0.01%
100+,0%,0.01%
